site	lon	lat
128875.0	-79.91666666666667	49.083333333333336
128876.0	-79.91666666666667	49.25
128877.0	-79.91666666666667	49.416666666666664
128878.0	-79.91666666666667	49.583333333333336
128879.0	-79.91666666666667	49.75
128880.0	-79.91666666666667	49.916666666666664
128881.0	-79.91666666666667	50.083333333333336
128882.0	-79.91666666666667	50.25
128883.0	-79.91666666666667	50.416666666666664
128884.0	-79.91666666666667	50.583333333333336
128885.0	-79.91666666666667	50.75
128886.0	-79.91666666666667	50.916666666666664
128887.0	-79.91666666666667	51.083333333333336
128888.0	-79.91666666666667	51.25
128889.0	-79.91666666666667	51.416666666666664
128890.0	-79.91666666666667	51.583333333333336
128891.0	-79.91666666666667	51.75
128892.0	-79.91666666666667	51.916666666666664
128893.0	-79.91666666666667	52.083333333333336
128894.0	-79.91666666666667	52.25
